# Source: https://en.wikipedia.org/wiki/2026_FIBA_Women's_Basketball_World_Cup_squads
# Captured 2026-09-03 via browser DOM extraction (table.sortable inside table.toccolours).
# Columns: team	pos	no	name	age	height_ftin	club	club_country
# Ages are as of 2026-09-04 per the page's own legend. Height ft/in only (metres dropped).
# NOTE: Korea and China were RENUMBERED and Korea RE-ROMANISED between the 09-02 and
# 09-03 captures. This page is being edited hourly this close to tip — re-capture, do
# not assume yesterday's numbers hold.
team	pos	no	name	age	height	club	club_country
CHN	C	15	Han Xu	26	6 ft 9 in	New York Liberty	United States
CHN	F/C	18	Chen Mingling	26	6 ft 4 in	Guangdong Vermilion Birds	China
CHN	C	19	Zhang Ziyu	19	7 ft 3 in	Shandong Six Stars	China
CHN	F	20	Sun Yu	22	6 ft 0 in	Jiangsu Phoenix	China
CHN	F	31	Jia Saiqi	27	6 ft 1 in	Sichuan Yuanda Meile	China
CZE	PG	1	Kateřina Zeithammerová	24	5 ft 4 in	Žabiny Brno	Czech Republic
CZE	SF	2	Julie Pospíšilová	27	6 ft 0 in	Flammes Carolo Basket	France
CZE	PF	3	Alena Hanušová	35	6 ft 3 in	DSK Brandýs	Czech Republic
CZE	SG	4	Gabriela Andělová	30	5 ft 8 in	USK Praha	Czech Republic
CZE	PF	5	Natálie Stoupalová	28	6 ft 1 in	Žabiny Brno	Czech Republic
CZE	G	7	Petra Malíková	23	5 ft 10 in	USK Praha	Czech Republic
CZE	SF	8	Veronika Voráčková	30	5 ft 11 in	Basket Zaragoza	Spain
CZE	PG	10	Eliška Joklová	27	6 ft 0 in	Minnesota Lynx	United States
CZE	PG	12	Monika Fučíková	24	5 ft 11 in	Žabiny Brno	Czech Republic
CZE	SG	13	Petra Holešínská	29	5 ft 10 in	Botaş SK	Turkey
CZE	C	16	Kateřina Kalná	19	6 ft 3 in	USK Praha	Czech Republic
CZE	C	20	Natálie Koucká	23	6 ft 5 in	USK Praha	Czech Republic
ITA	PF	0	Jasmine Keys	28	6 ft 2 in	PF Schio	Italy
ITA	SG	5	Matilde Villa	21	5 ft 7 in	Reyer Venezia	Italy
ITA	G	6	Francesca Pasa	26	5 ft 9 in	Reyer Venezia	Italy
ITA	SG	8	Costanza Verona	27	5 ft 7 in	Dallas Wings	United States
ITA	SF	9	Cecilia Zandalasini	30	6 ft 2 in	Golden State Valkyries	United States
ITA	SG	11	Francesca Pan	29	6 ft 0 in	Reyer Venezia	Italy
ITA	C	13	Lorela Cubaj	27	6 ft 4 in	Reyer Venezia	Italy
ITA	PF	14	Sara Madera	26	6 ft 2 in	Magnolia Basket Campobasso	Italy
ITA	PG	18	Mariella Santucci	29	5 ft 7 in	Reyer Venezia	Italy
ITA	SG	19	Martina Fassina	27	6 ft 0 in	Reyer Venezia	Italy
ITA	C	22	Olbis Andrè	27	6 ft 4 in	PF Schio	Italy
ITA	G	55	Vittoria Blasigh	22	5 ft 9 in	UCF Knights	United States
USA	G	4	Paige Bueckers	24	6 ft 0 in	Dallas Wings	United States
USA	G	5	Sonia Citron	22	6 ft 1 in	Washington Mystics	United States
USA	SF	6	Rhyne Howard	25	6 ft 2 in	Atlanta Dream	United States
USA	G/F	7	Kahleah Copper	32	6 ft 1 in	Phoenix Mercury	United States
USA	G	8	Chelsea Gray	33	5 ft 11 in	Las Vegas Aces	United States
USA	PF	9	Kiki Iriafen	23	6 ft 3 in	Washington Mystics	United States
USA	PF	10	Breanna Stewart	32	6 ft 3 in	New York Liberty	United States
USA	SF	11	Napheesa Collier	29	6 ft 1 in	Minnesota Lynx	United States
USA	G	12	Caitlin Clark	24	6 ft 0 in	Indiana Fever	United States
USA	G	13	Jackie Young	28	6 ft 0 in	Las Vegas Aces	United States
USA	C	14	Aliyah Boston	24	6 ft 5 in	Indiana Fever	United States
USA	PF	15	Angel Reese	24	6 ft 3 in	Atlanta Dream	United States
